id,name,aliases,visual_keywords,visual_description,recognition_hint
entity_CP_CC_001,景德镇窑珊瑚红地描金五彩山水纹瓶,珊瑚红地描金五彩山水纹瓶|山水瓶|珊瑚红瓶,珊瑚红|五彩|山水|瓶,瓷质瓶，以珊瑚红地为地，饰山水纹，兼施五彩等色，视觉特征鲜明独特。,珊瑚红与五彩双色，可据此与同类器物区分。
entity_CP_CC_002,景德镇窑堆蓝团龙纹胆瓶,堆蓝团龙纹胆瓶|团龙胆瓶|堆蓝胆瓶,堆蓝|团龙|胆瓶,瓷质胆瓶，施堆蓝釉，饰团龙纹，做工精细考究，形态端整大方。,堆蓝釉色，胆瓶造型，可据此与同类器物区分。
entity_CP_CC_003,景德镇窑粉彩渔樵问答纹瓶,粉彩渔樵问答纹瓶|渔樵问答瓶|粉彩瓶|渔樵瓶,粉彩|渔樵|瓶,瓷质瓶，以粉彩绘饰，饰渔樵问答纹，做工精细考究，形态端整大方。,粉彩色彩丰富，渔樵问答题材，可据此与同类器物区分。
entity_CP_CC_004,景德镇窑珊瑚红描金龙凤纹大口瓶,珊瑚红描金龙凤纹大口瓶|龙凤大口瓶|珊瑚红大口瓶,珊瑚红|描金|龙凤|瓶,瓷质大口瓶，施珊瑚红釉，饰龙凤纹，兼施描金等色，视觉特征鲜明独特。,珊瑚红与描金双色，龙凤题材，可据此与同类器物区分。
entity_CP_CC_005,景德镇窑蓝地缠枝花开窗牡丹纹双耳瓶,蓝地缠枝花开窗牡丹纹双耳瓶|缠枝花牡丹双耳瓶|蓝双耳瓶|牡丹双耳瓶,牡丹|缠枝|双耳瓶,瓷质双耳瓶，以蓝地为地，开窗装饰，饰缠枝花牡丹纹。,蓝釉色，可据此与同类器物区分。
entity_CP_CC_006,景德镇窑紫红地开窗山水纹双耳莲口瓶,紫红地开窗山水纹双耳莲口瓶|山水纹双耳莲口瓶|紫红莲口瓶|山水莲口瓶,山水|莲|瓶|紫红,瓷质莲口瓶，以紫红地为地，开窗装饰，饰山水纹双耳、莲纹。,紫红釉色独特，莲口瓶造型，可据此与同类器物区分。
entity_CP_CC_007,景德镇窑珊瑚红地描金花卉开窗诗文方形塔瓶,珊瑚红地描金花卉开窗诗文方形塔瓶|花卉诗文方形塔瓶|珊瑚红方形塔瓶|花卉方形塔瓶,珊瑚红|描金|花卉|瓶,瓷质方形塔瓶，以珊瑚红地为地，开窗装饰，饰花卉诗文纹。,珊瑚红与描金双色，塔瓶造型，可据此与同类器物区分。
entity_CP_CC_008,景德镇窑胭脂红地碎花纹瓶,胭脂红地碎花纹瓶|碎花瓶|胭脂红瓶,瓶|瓷器,瓷质瓶，以胭脂红地为地，饰碎花纹，做工精细考究，形态端整大方。,胭脂红釉色独特，可据此与同类器物区分。
entity_CP_CC_009,景德镇窑粉彩太白醉酒纹瓶,粉彩太白醉酒纹瓶|太白醉酒瓶|粉彩瓶,粉彩|瓶,瓷质瓶，以粉彩绘饰，为太白醉酒形象，做工精细考究，形态端整大方。,粉彩色彩丰富，太白醉酒题材，可据此与同类器物区分。
entity_CP_CC_010,景德镇窑珊瑚红地开窗花鸟纹面盆,珊瑚红地开窗花鸟纹面盆|花鸟纹面盆|珊瑚红盆|花鸟盆,珊瑚红|花鸟|盆,瓷质盆，以珊瑚红地为地，开窗装饰，饰花鸟纹面纹，做工精细考究，形态端整大方。,珊瑚红釉色独特，可据此与同类器物区分。
