id,name,description,craft,location,aliases,visual_keywords,visual_description,recognition_hint
entity_JZ_CH_001,门神,陈氏书院大门上的彩绘门神是现存广东清代时期最大的门神。红脸的叫秦琼，黑脸的叫尉迟恭，都是唐朝的大将军。根据身姿分为立式门神、骑式门神；所持武器大体有鞭锏、金瓜、刀、斧、锤等。陈氏书院大门的这对彩绘门神即为立式执锤、斧门神，整个构图给人顶天立地之感。,彩绘,首进正门（陈氏书院大门）,彩绘门神,彩绘|门神|尉迟恭|红脸|黑脸|将军|立式|秦琼|锤|斧|人物,红脸的叫秦琼，黑脸的叫尉迟恭，都是唐朝的大将军。陈氏书院大门的这对彩绘门神即为立式执锤、斧门神，整个构图给人顶天立地之感。,重点识别尉迟恭、红脸、黑脸、将军、立式等可见特征。
entity_JZ_CH_002,王勃写《滕王阁序》图,这幅彩绘描写的是"初唐四杰"之一的王勃赴席创作千古名篇《滕王阁序》的情形。唐上元二年（公元675年），王勃去交趾（今越南北部）探望父亲，路过南昌时，被洪州都督阎伯屿邀请参加滕王阁重修竣工举行的宴会。阎都督本打算让他女婿在宴会上好好表现一番，但先假意请大家为这次宴会写一篇序文，大家知道他的真实用意，于是纷纷推辞，只有王勃不知道阎都督的意图，就爽快地答应了，令在场的人都很吃惊。阎都督很扫兴地回到帐后休息，并让下属随时汇报王勃书写的内容。听说王勃开始写"豫章故郡，洪都新府"，他认为这是老生常谈，渐渐地等他听到"落霞与孤鹜齐飞，秋水共长天一色"时，阎都督不得不叹服王勃的天才之笔。,彩绘,前东厢,王勃写滕王阁序图|王勃写滕王阁序|彩绘王勃写滕王阁序图,彩绘|王勃写滕王阁序图|宴会|王勃,这幅彩绘描写的是"初唐四杰"之一的王勃赴席创作千古名篇《滕王阁序》的情形。阎都督本打算让他女婿在宴会上好好表现一番，但先假意请大家为这次宴会写一篇序文，大家知道他的真实用意，于是纷纷推辞，只有王勃不知道阎都督的意图，就爽快地答应了，令在场的人都很吃惊。,重点识别宴会、王勃等可见特征。
entity_JZ_CH_003,"""夜宴桃李""图","""夜宴桃李""图是根据唐代著名诗人李白的《春夜宴诸从弟桃李园序》（见图左上角）为题材绘制而成。陈氏书院西厢房这幅彩绘生动地描绘了李白与诸位堂弟、春夜于桃李园设宴、一起欣赏美景、斗酒赋诗、高谈阔论的欢乐情景。",彩绘,前西厢,夜宴桃李图|夜宴桃李|彩绘夜宴桃李图,彩绘|夜宴桃李图|李白,陈氏书院西厢房这幅彩绘生动地描绘了李白与诸位堂弟、春夜于桃李园设宴、一起欣赏美景、斗酒赋诗、高谈阔论的欢乐情景。,重点识别李白特征，并结合“夜宴桃李图”题材与彩绘表现形式判断。
entity_JZ_HS_001,独角狮,独角狮是岭南建筑独有的建筑装饰物，一般装饰于山墙垂脊前沿上，全身朱红色、独角，状若凌空而下，气势雄伟。,灰塑,首进中路南面瓦脊,灰塑独角狮,灰塑|独角狮|朱红色|红色|山墙|垂脊|动物,独角狮是岭南建筑独有的建筑装饰物，一般装饰于山墙垂脊前沿上，全身朱红色、独角，状若凌空而下，气势雄伟。,重点识别朱红色、红色、山墙、垂脊、动物等可见特征。
entity_JZ_HS_002,独占鳌头（鳌鱼）,鳌鱼是中国民间崇奉的吉祥物，龙头鱼身，好风雨，背负仙山在海中。从图腾文化的角度解释，鳌鱼可说是龙的衍化物。,灰塑,首进廊门南面（前东厢/前西厢廊门南面，OCR 原文"蔚颗廊门南面/芸始廊门南面"）,鳌鱼|独占鳌头|灰塑独占鳌头,灰塑|鳌鱼|独占鳌头|龙头|动物,鳌鱼是中国民间崇奉的吉祥物，龙头鱼身，好风雨，背负仙山在海中。,重点识别龙头、动物等可见特征。
entity_JZ_HS_003,洞天福地,以山水楼阁、道教仙境为构图，描绘神仙居所的优美景致。,灰塑,首进廊门南面（OCR 原文"役表廊门南面"）,灰塑洞天福地,灰塑|洞天福地|楼阁|神仙|山水|人物,以山水楼阁、道教仙境为构图，描绘神仙居所的优美景致。,重点识别楼阁、神仙、山水等可见特征。
entity_JZ_HS_004,桃园结义,图右上方有"桃园结义"四字。故事取材于《三国演义》：东汉末平，朝政腐败，再加上连年灾荒，人民生活非常困苦。刘备、关羽、张飞三人情投意合，选定张飞庄后的一个桃园，准备了青牛白马作为祭品，焚香祭拜，结拜为兄弟。按年岁刘备年长做了大哥、关羽为二哥、张飞最小做了三弟。这幅作品正是描绘三人桃园结义的情景。,灰塑,首进廊门南面（OCR 原文"昌妮座门南面"）,灰塑桃园结义,灰塑|桃园结义|结义|刘备|关羽|张飞|动物,刘备、关羽、张飞三人情投意合，选定张飞庄后的一个桃园，准备了青牛白马作为祭品，焚香祭拜，结拜为兄弟。这幅作品正是描绘三人桃园结义的情景。,重点识别结义、刘备、关羽、张飞、动物等可见特征。
entity_JZ_HS_005,赵美容打飞熊,门额灰塑主体构图为"赵美容打飞熊"的故事。传说赵美容是宋太祖赵匡胤的妹妹，武艺超群。有一次，窥伺中原的蕃国送来一只野性难驯的"飞熊"，意欲看中原出丑，却没有想到赵美容只身降服了这只"飞熊"，令蕃国从此不敢轻视中原。图中赵美容顶盔贯甲，立于山石上正与飞熊对峙，赵匡胤端坐金殿，与身前的蕃使观战交谈。,灰塑,首进廊门门额南面（OCR 原文"蔚颖廊门南面"）,灰塑赵美容打飞熊,灰塑|赵美容打飞熊|赵美容|赵匡胤|门额|金殿|端坐|对峙|飞熊|山石|人物|动物,门额灰塑主体构图为"赵美容打飞熊"的故事。图中赵美容顶盔贯甲，立于山石上正与飞熊对峙，赵匡胤端坐金殿，与身前的蕃使观战交谈。,重点识别赵美容、赵匡胤、门额、金殿、端坐等可见特征。
entity_JZ_HS_006,古城会,门额灰塑主体构图的"古城会"故事出自《三国演义》，称"新蔡阳兄弟释疑，会古城主臣聚义"。故事描写三国时代的名将关羽离开曹营，一路护送两位嫂嫂去找刘备，千里走单骑，过五关斩六将，至古城与结拜兄弟张飞相会。张飞见远处蔡阳率兵追来，怀疑关羽投向了曹操，于是要他在一通鼓时间内杀退追兵，以此来考验他。结义后，关羽使用拖刀计将蔡阳斩于马下。张飞知道错怪了关羽，于是兄弟俩消除了误会，在古城相聚，共叙别后之情。图中表现的是关羽飞马回刀斩落蔡阳的情景。,灰塑,首进廊门门额（OCR 原文"庆基廊门门额"）,灰塑古城会,灰塑|古城会|门额|聚义|关羽|刀|人物|动物,门额灰塑主体构图的"古城会"故事出自《三国演义》，称"新蔡阳兄弟释疑，会古城主臣聚义"。图中表现的是关羽飞马回刀斩落蔡阳的情景。,重点识别门额、聚义、关羽、刀、动物等可见特征。
entity_JZ_HS_007,喜上眉梢,以喜鹊登梅为构图主体。,灰塑,首进廊门北面（OCR 原文"昌妮廊门北面"）,灰塑喜上眉梢,灰塑|喜上眉梢|喜鹊,以喜鹊登梅为构图主体。,重点识别喜鹊特征，并结合“喜上眉梢”题材与灰塑表现形式判断。
