id,name,description,material,tags,hall,aliases,visual_keywords,visual_description,recognition_hint
entity_CP_CC_045,景德镇窑粉彩儿童耍乐图瓶,口外撇，束颈，丰肩，长弧腹，腹下内敛，圈足外撇。釉质洁白，内口沿及底足施松绿石釉。主体纹饰为一儿童登高攀树摘果，并将果撒于地面，众儿童纷纷扑地争抢，场面热闹，描绘出孩童的天真朴实。底有红彩双方栏篆书“居仁堂制”款。,null,彩瓷,null,居仁堂制粉彩婴戏图瓶,粉彩|白釉|松绿石釉|儿童纹饰|婴戏图|撇口|丰肩|长弧腹|圈足|红彩款,撇口束颈丰肩长弧腹圈足瓶，白釉地，内口沿及底足施松绿石釉，瓶身绘儿童攀树摘果、众童扑地争抢的婴戏图，底有红彩篆书款。,松绿石釉口沿底足+婴戏图纹饰+红彩居仁堂制款
entity_CP_GX_001,民国广绣缠枝莲纹褂裙,无数据,null,广绣,null,,,,
entity_CP_HCBC_012,白釉执壶,胎灰白色，质地致密。器形饱满，大口圆唇，颈部较长，微侈，腹长圆，肩两侧对称部位各有圆柱形短流和双带形曲柄，平底。白釉光润，颈腹交接处的釉层厚，浅青色透明。足、底露胎。,null,黑瓷白瓷,null,白釉短流曲柄执壶,白釉|灰白胎|大口|长颈|长圆腹|圆柱形短流|双带形曲柄|平底|露胎,灰白胎白釉执壶，大口圆唇长颈，长圆腹，肩一侧有圆柱形短流，另一侧有双带形曲柄，平底，足底露胎。,灰白胎+圆柱形短流+双带形曲柄+平底露胎
entity_CP_QC_009,龙泉窑青黄釉刻莲瓣五管瓶,青黄色釉。器体为六节葫芦状，一至四节刻仰覆莲瓣纹，第四节堆塑起棱花口五管，管与器身不相通。盖钮为结子石榴，盖与身浅刻莲瓣纹。纹饰简朴，造型稳重。,null,青瓷,null,龙泉窑青黄釉五管瓶,青黄釉|六节葫芦形|仰覆莲瓣纹|堆塑五管|花口|石榴盖钮|浅刻莲瓣,青黄釉六节葫芦形瓶，一至四节刻仰覆莲瓣纹，第四节堆塑花口五管与器身不通，配石榴形盖钮，盖与器身浅刻莲瓣纹。,六节葫芦造型+堆塑花口五管+石榴盖钮+青黄釉
entity_CP_QC_036,龙泉窑黄釉贴佛像瓶,瓶直口，肩部贴有向上直立的五个佛像，圈足外撇。器身共有四层纹饰，一层为仰莲瓣纹，二层为覆莲瓣纹，三四层为线纹。瓶盖为帽形，盖面刻线纹，人物为钮。此瓶造型美观。,null,青瓷,null,龙泉窑黄釉五佛瓶,黄釉|直口|肩部贴塑佛像|五佛像|仰莲瓣纹|覆莲瓣纹|线纹|帽形盖|人物钮|圈足外撇,黄釉直口瓶，肩部贴塑五尊向上直立的佛像，器身饰仰覆莲瓣纹及线纹共四层，配帽形盖，盖面刻线纹，以人物为钮，圈足外撇。,肩部直立五佛像+帽形人物钮盖+黄釉+四层纹饰
entity_CP_SWT_083,舒釉山水图挂画,黄古珍作。 舒窑是宋代吉州五个著名民窑 之一，由舒翁、舒娇两父女创烧。历 史记载，舒翁善于制作瓷塑和瓷塑玩 具，有造型生动朴实、色彩明快的特 点。舒娇制作更精。唐秉均在《文房 肆考》中提到：“吉州窑出于吉安永 和镇……宋时有五窑，舒翁工为玩具，烧者最佳，翁之女号舒娇，尤 善。其炉瓮诸色几与哥窑等价。” （注：清唐秉钧撰《文房肆考图 说》，乾隆四十三年嘉定唐氏竹山庄刊本，卷三·古窑器考·吉州窑。 三三页）吉州窑在元末就已经没落， 舒窑也湮没于历史的尘埃中。明清时 的石湾窑“无窑不仿”，舒窑也入其仿制之列，成为舒窑的继承者，从石湾窑可以看到舒窑当时大概的样貌。,null,石湾陶,null,舒窑山水图挂画,,,
entity_CP_SWT_113,白釉吕洞宾,“何瓞绵制”款。吕洞宾本是晚唐宋初人，懂剑术，善诗词，云游各地，是个避乱世的隐士，北宋仁宗时已开始 “仙化”。道号纯阳子，全真道祖师，被尊称为吕祖，汉族民间传说 中的八仙之一。集医神、武神与财神一体，济世度人，成为民众的保 护神。 此尊吕洞宾坐于石上，头戴道士方巾冠，长须，凤目，身穿道 袍，肩挎宝剑，右手执拂尘交叠左 手上，神态自若。底内钤“何瓞绵 制”印。何瓞绵(生卒年月不详)， 为民国年间人。,null,石湾陶,null,何瓞绵制白釉吕洞宾坐像|吕祖瓷塑,白釉|人物瓷塑|道士方巾冠|长须|凤目|道袍|宝剑|拂尘|坐石|底款,白釉人物瓷塑，吕洞宾坐于石上，头戴道士方巾冠，长须凤目，身穿道袍，肩挎宝剑，右手执拂尘交叠左手，神态自若，底内有何瓞绵制印款。,道士方巾冠+肩挎宝剑+手执拂尘+坐石姿态+白釉底款
entity_CP_SWT_139,白釉布袋佛,商承祚先生捐赠。“苏子云制”款。布袋和尚名契此，五代梁时的高僧，号长汀子。世传他是弥勒菩萨的应化身，平日常携一布袋，见物则乞，人称布袋和尚。由于通常脸带笑容，手提布袋，有和气生财、累积财富的寓意，被民间信仰者视为财神供奉。 此布袋和尚体态肥胖，袒腹露胸，笑容可掬，赤足而坐，右手放膝上捻 佛珠，左手拿一布袋放于身旁。眉毛、须发点上白珠作饰；衣纹洒脱简洁，施白釉。底内钤“苏子云制”篆书方印。苏子云，民国年间人，生卒年月不详。,null,石湾陶,null,苏子云制白釉布袋和尚|弥勒佛瓷塑,白釉|人物瓷塑|肥胖体态|袒腹露胸|笑容|赤足|坐姿|佛珠|布袋|白珠点饰|衣纹|底款,白釉人物瓷塑，布袋和尚体态肥胖，袒腹露胸，笑容可掬，赤足而坐，右手捻佛珠放膝上，左手持布袋放身旁，眉须发点白珠饰，衣纹简洁，底有苏子云制篆书方印。,肥胖袒腹+笑容+赤足坐姿+左手布袋+右手佛珠+白釉底款
entity_CP_TJ_015,四山镜,三弦拱桥形钮，内外两方形钮座。座外羽状纹地，上有四山字纹饰。宽素边卷缘。,null,铜镜,null,四山纹铜镜,铜镜|三弦拱桥形钮|方形钮座|羽状纹地|四山字纹|宽素边|卷缘,圆形铜镜，三弦拱桥形钮，内外两方形钮座，座外羽状纹地上饰四山字纹，宽素边卷缘。,三弦拱桥钮+双方形钮座+羽状纹地+四山字纹+宽素卷缘
entity_CP_NEW_003,广东民间工艺馆人员合照,广东民间工艺馆从1959年10月1日正式对外开放，馆的工作人员共25人，还有几个临工，后来部分工作人员有调出和离开的。这张合照共14人，从左至右为：罗雨林、梁健、韩于西、谭元、李震、冯慧儿、黄培强、刘淑欢、何民本、陈亮、缪菁、曾土金、黎其彬、黄南。,null,展品,null,广东民间工艺馆工作人员合照,黑白照片|人物合照|十四人|站立排列,一张十四人站立排列的人物合照黑白照片。,十四人站立合照+广东民间工艺馆工作人员
