work_id,work_name,relationship_type,target_name,target_type,evidence
entity_JZ_CH_001,门神,DEPICTS,秦琼,StoryCharacter,画面右侧红脸持锏者为秦琼
entity_JZ_CH_001,门神,DEPICTS,尉迟恭,StoryCharacter,画面左侧黑脸持鞭者为尉迟恭
entity_JZ_CH_001,门神,HAS_MEANING,辟邪祈福,CulturalMeaning,保护家宅平安、驱邪避祟
entity_JZ_CH_001,门神,USES_TECHNIQUE,彩绘,CraftTechnique,彩绘壁画
entity_JZ_CH_002,王勃写《滕王阁序》图,DEPICTS,王勃,StoryCharacter,描写王勃赴席创作千古名篇的情形
entity_JZ_CH_002,王勃写《滕王阁序》图,HAS_MEANING,才华横溢,CulturalMeaning,赞颂王勃的旷世才华
entity_JZ_CH_002,王勃写《滕王阁序》图,HAS_MEANING,文人雅趣,CulturalMeaning,文人对才学的崇尚
entity_JZ_CH_002,王勃写《滕王阁序》图,USES_TECHNIQUE,彩绘,CraftTechnique,彩绘壁画
entity_JZ_CH_003,"""夜宴桃李""图",DEPICTS,李白,StoryCharacter,描绘李白与诸位堂弟春夜设宴
entity_JZ_CH_003,"""夜宴桃李""图",HAS_MEANING,文人雅趣,CulturalMeaning,文人雅集、诗酒风流
entity_JZ_CH_003,"""夜宴桃李""图",USES_TECHNIQUE,彩绘,CraftTechnique,彩绘壁画
entity_JZ_HS_001,独角狮,HAS_MEANING,辟邪祈福,CulturalMeaning,辟邪保平安
entity_JZ_HS_001,独角狮,USES_TECHNIQUE,堆塑,CraftTechnique,现场堆塑，草筋灰堆塔、纸筋灰细塑
entity_JZ_HS_002,独占鳌头,HAS_MEANING,科举及第,CulturalMeaning,科举高中、独占鳌头
entity_JZ_HS_002,独占鳌头,USES_TECHNIQUE,堆塑,CraftTechnique,现场堆塑
entity_JZ_HS_002,独占鳌头,USES_TECHNIQUE,彩绘,CraftTechnique,朱红色施彩
entity_JZ_HS_003,洞天福地,HAS_MEANING,祥瑞象征,CulturalMeaning,仙境福地、祥瑞之境
entity_JZ_HS_003,洞天福地,USES_TECHNIQUE,堆塑,CraftTechnique,山水灰塑
entity_JZ_HS_004,桃园结义,DEPICTS,刘备,StoryCharacter,刘备、关羽、张飞桃园结义
entity_JZ_HS_004,桃园结义,DEPICTS,关羽,StoryCharacter,刘备、关羽、张飞桃园结义
entity_JZ_HS_004,桃园结义,DEPICTS,张飞,StoryCharacter,刘备、关羽、张飞桃园结义
entity_JZ_HS_004,桃园结义,HAS_MEANING,情谊深厚,CulturalMeaning,忠义结盟、兄弟情深
entity_JZ_HS_004,桃园结义,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_004,桃园结义,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_005,赵美容打飞熊,DEPICTS,赵美容,StoryCharacter,赵美容降服飞熊
entity_JZ_HS_005,赵美容打飞熊,DEPICTS,赵匡胤,StoryCharacter,赵匡胤、蕃使观战
entity_JZ_HS_005,赵美容打飞熊,HAS_MEANING,巾帼英雄,CulturalMeaning,巾帼英雄、保家卫国
entity_JZ_HS_005,赵美容打飞熊,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_006,古城会,DEPICTS,关羽,StoryCharacter,关羽斩蔡阳、与张飞相会
entity_JZ_HS_006,古城会,DEPICTS,张飞,StoryCharacter,关羽斩蔡阳、与张飞相会
entity_JZ_HS_006,古城会,DEPICTS,蔡阳,StoryCharacter,关羽斩蔡阳
entity_JZ_HS_006,古城会,HAS_MEANING,情谊深厚,CulturalMeaning,忠义信勇、兄弟团聚
entity_JZ_HS_006,古城会,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_007,喜上眉梢,HAS_MEANING,吉祥喜庆,CulturalMeaning,喜上眉梢、喜事来临
entity_JZ_HS_007,喜上眉梢,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_007,喜上眉梢,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_008,金玉满堂,HAS_MEANING,富贵吉祥,CulturalMeaning,财富充盈、才学兼备
entity_JZ_HS_008,金玉满堂,USES_TECHNIQUE,堆塑,CraftTechnique,灰塑
entity_JZ_HS_008,金玉满堂,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_009,福禄寿,DEPICTS,福星,StoryCharacter,三位神仙造型
entity_JZ_HS_009,福禄寿,DEPICTS,禄星,StoryCharacter,三位神仙造型
entity_JZ_HS_009,福禄寿,DEPICTS,寿星,StoryCharacter,三位神仙造型
entity_JZ_HS_009,福禄寿,HAS_MEANING,福寿安康,CulturalMeaning,福运、官禄、长寿
entity_JZ_HS_009,福禄寿,HAS_MEANING,加官进禄,CulturalMeaning,高官厚禄
entity_JZ_HS_009,福禄寿,USES_TECHNIQUE,堆塑,CraftTechnique,人物灰塑
entity_JZ_HS_009,福禄寿,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_010,狮子图（祈子嗣）,HAS_MEANING,子孙繁衍,CulturalMeaning,子嗣旺盛
entity_JZ_HS_010,狮子图（祈子嗣）,HAS_MEANING,辟邪祈福,CulturalMeaning,辟邪
entity_JZ_HS_010,狮子图（祈子嗣）,USES_TECHNIQUE,堆塑,CraftTechnique,瑞兽灰塑
entity_JZ_HS_011,功名富贵,HAS_MEANING,加官进禄,CulturalMeaning,功名
entity_JZ_HS_011,功名富贵,HAS_MEANING,富贵吉祥,CulturalMeaning,富贵
entity_JZ_HS_011,功名富贵,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_011,功名富贵,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_012,仙壶集庆、百事如意,HAS_MEANING,吉祥喜庆,CulturalMeaning,众人聚庆、吉祥如意
entity_JZ_HS_012,仙壶集庆、百事如意,USES_TECHNIQUE,堆塑,CraftTechnique,器物灰塑
entity_JZ_HS_012,仙壶集庆、百事如意,USES_TECHNIQUE,彩绘,CraftTechnique,施彩
entity_JZ_HS_013,杏林春燕,HAS_MEANING,科举及第,CulturalMeaning,科举高中
entity_JZ_HS_013,杏林春燕,HAS_MEANING,吉祥喜庆,CulturalMeaning,喜气洋洋
entity_JZ_HS_013,杏林春燕,USES_TECHNIQUE,堆塑,CraftTechnique,花鸟灰塑
entity_JZ_HS_014,松鹤延年,HAS_MEANING,福寿安康,CulturalMeaning,吉祥长寿
