id,name,entity_type,entity_label,tags,description,images,source,保护级别,标注,别称,别名,博物馆级别,材质,材质/工艺,藏品数量,称号,城市名称,尺寸,当前展览,地理位置,工艺技法,工艺类别,功能,官方网站,馆藏来源,馆藏数量,核心建筑,幻灯片编号,籍贯,简介,建筑格局,建筑面积,建筑数量,景区级别,捐赠,捐赠人,捐赠人/作者,开放时间,款识,类别,类别缩写,联系电话,落成时间,门票信息,面积,内容描述,年代,起止时间,全称,入馆时间,身份,生卒年,时间,时长,始建时间,适合,收藏单位,图片URL,位置,位置数量,文化寓意,与陈家祠关系,展览类型,展期,展厅,占地面积,珍贵文物,职务,主题,主题简介,主题名称,主要装饰,作品数量,作者,作者/铭文者
entity_001,陈家祠,景点,ScenicSpot,全国重点文物保护单位|国家一级博物馆|国家AAAA级旅游景区,陈家祠（匾额题陈氏书院）落成于清光绪二十年（1894年），是清代广东各地陈姓宗族在广州合资建造的合族祠。集岭南地区多种建筑装饰工艺于一体，被誉为岭南建筑艺术明珠。1988年被国务院公布为全国重点文物保护单位，2017年被评为国家一级博物馆。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,全国重点文物保护单位（1988年）,,陈氏书院,,国家一级博物馆（2017年）,,,,,,,,广州市荔湾区中山七路,,,,https://www.gzcjc.com.cn,,20000多件/套,聚贤堂,,,,三路三进，九厅六院,约8000平方米（主体建筑6400平方米）,十九座单体建筑,国家AAAA级旅游景区（2008年）,,,,每日9:00-17:30，17:00停止售票，周一闭馆,,,,020-81819653,1894-01,成人票10元，优惠票5元,,,,,广东民间工艺博物馆,,,,,,1888-04,,,,,,,,,,,15000平方米,近3000件/套,,,,,,,,
entity_space_001,前院,空间节点,Space,室外空间,陈家祠前院，位于首进南侧，是游客进入陈家祠后的集散空间，适合拍照打卡。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,游客集散、拍照打卡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,首进南侧,,,,,,,,,,,,,,,,
entity_space_002,首进正厅,空间节点,Space,建筑空间|中轴建筑,首进正厅位于首进中轴线上，是进入陈家祠后的主要通道。正厅以双面镂空木雕大屏门、彩绘门神和铜铺首为主要装饰，展现精湛的建筑艺术。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,入口通道、建筑艺术观赏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,首进中轴,,,,,,,,,,,,,双面镂空木雕大屏门、彩绘门神、铜铺首,,,
entity_space_003,首进东厅,空间节点,Space,建筑空间|展厅空间,首进东厅位于首进东侧，目前作为展厅使用，展出岭南传统建筑装饰艺术展。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,岭南传统建筑装饰艺术展,,,,展厅,,,,,,,首进东厅为陈家祠展厅之一，主要展出建筑构件类展品，包括金漆木雕、潮州木雕、砖雕、石雕、玻璃工艺等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,首进东侧,,,,,,,,,,,,,,,,
entity_space_004,首进西厅,空间节点,Space,建筑空间|展厅空间,首进西厅位于首进西侧，目前作为展厅和文创商店使用。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,展厅/文创,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,首进西侧,,,,,,,,,,,,,,,,
entity_space_005,前东厢,空间节点,Space,建筑空间|厢房,前东厢位于首进区域北侧、前庭东侧，目前展出广州旧家居展。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,展厅,,,,,,,前东厢为陈家祠展厅之一，以复原西关大屋建筑场景与展示岭南民间工艺品为主,,,,,,,,,,,,,,,,,,,,,,,,,,,,,首进区域北侧、前庭东侧,,,,,,,,,,,,,,,,
entity_space_006,前西厢,空间节点,Space,建筑空间|厢房,前西厢位于首进区域北侧、前庭西侧，目前作为展厅使用，用于观看陈家祠录像介绍。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,展厅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,首进区域北侧、前庭西侧,,,,,,,,,,,,,,,,
entity_space_007,聚贤堂,空间节点,Space,建筑空间|中轴建筑|核心建筑,聚贤堂是陈家祠的核心建筑，位于中进中轴线上，面积287平方米，原为族人祭祀和议事之用。堂内设有十二扇精美木雕屏风，正脊陶塑长达27米，气势恢宏。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,核心建筑、祭祀议事,,,,,,,,,,,,,,,,,,,,,,287平方米,,,,,,,,,,,,,,中进中轴,,,,,,,,,,,,,十二扇木雕屏风、正脊陶塑长27米,,,
entity_space_008,月台,空间节点,Space,建筑空间|室外空间,月台位于聚贤堂前方，以石雕栏杆、望柱头瓜果装饰和铁铸通花栏板为主要装饰特色，是观赏建筑艺术和休憩的场所。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,,,,,建筑艺术观赏、休憩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,聚贤堂前,,,,,,,,,,,,,石雕栏杆、望柱头瓜果、铁铸通花栏板,,,
entity_space_009,中进东厅,空间节点,Space,建筑空间|展厅空间,中进东厅位于中进东侧，目前展出岭南民间百艺展览。,,《广州陈氏书院实录》；广东民间工艺博物馆官网,,,,,,,,,,,,岭南民间百艺,,,,展厅,,,,,,,中进东厅为陈家祠广东传统工艺主题展厅，展出贝雕、潮州木雕、潮州金漆木雕、广州画珐琅、玉雕、榄核雕、揭阳漆器、广州漆器、广州银器、潮州铜錾、大吴泥塑等广东代表性传统工艺精品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中进东侧,,,,,,,,,,广东传统工艺,,,,,,
